Water Sport,,,--,EOT,--,"Burst 2, Coat","All targets in the burst, including the user, gain a Coat which grants them 1 Step of Resistance to Fire Type Moves. After a target has been hit by a damaging Fire Type Move, the coat is removed. *Grants Fountain",Cute - Sabotage,Status,Water,,,,,,,,,,
Water Spout,,,15,Daily,4,Burst 1*,"For each 10% of HP the user is missing, Water Spout's Damage Base is reduced by -1. Water Spout creates a 1 meter burst, but also affects an area 10 meters tall straight up.",Beauty - Seen Nothing Yet,Special,Water,,,,,,,,,,
Waterfall,,,8,EOT,2,"Melee, 1 Target",Waterfall Flinches the target on 17+.,Tough - Steady Performance,Physical,Water,o,o,,,,,,,,
Wave Crash,,,8,EOT,2,"Melee, 1 Target, Priority, Recoil 1/4",--,Tough - Steady Performance,Physical,Water,,o,,o,,,,,,o
Whirlpool,,,4,Scene x2,4,"3, 1 Target",The target is put in a Vortex.,Beauty - Safe Option,Special,Water,,,o,,,,,,,
Withdraw,,,--,At-Will,--,Self," The user becomes Withdrawn. While Withdrawn, the user becomes immune to Critical Hits and gain 15 Damage Reduction. However, while Withdrawn, the user cannot Shift, and may only use self-targeting Moves. The user may stop being Withdrawn as a Shift Action.
September Playtest: The user’s Defense is raised 1 Combat Stage.",Cute - Sabotage,Status,Water,,,,,,,,,,
Name,Type,Category,Damage base,Frequency,AC,Range,Effects,Contest Stats,Category,Type,,,,,,,,,,
Hidden Power Bug,,,6,EOT,2,Burst 1,--,Smart -  Catching Up,Special,Bug,,,o,,,,,,,
Hidden Power Dark,,,6,EOT,2,Burst 1,--,Smart -  Catching Up,Special,Dark,,,o,,,,,,,
Hidden Power Dragon,,,6,EOT,2,Burst 1,--,Smart -  Catching Up,Special,Dragon,,,o,,,,,,,
Hidden Power Electric,,,6,EOT,2,Burst 1,--,Smart -  Catching Up,Special,Electric,,,o,,,,,,,
Hidden Power Fighting,,,6,EOT,2,Burst 1,--,Smart -  Catching Up,Special,Fighting,,,o,,,,,,,
Hidden Power Fire,,,6,EOT,2,Burst 1,--,Smart -  Catching Up,Special,Fire,,,o,,,,,,,
Hidden Power Flying,,,6,EOT,2,Burst 1,--,Smart -  Catching Up,Special,Flying,,,o,,,,,,,
Hidden Power Ghost,,,6,EOT,2,Burst 1,--,Smart -  Catching Up,Special,Ghost,,,o,,,,,,,
Hidden Power Grass,,,6,EOT,2,Burst 1,--,Smart -  Catching Up,Special,Grass,,,o,,,,,,,
Hidden Power Ground,,,6,EOT,2,Burst 1,--,Smart -  Catching Up,Special,Ground,,,o,,,,,,,
Hidden Power Ice,,,6,EOT,2,Burst 1,--,Smart -  Catching Up,Special,Ice,,,o,,,,,,,
Hidden Power Poison,,,6,EOT,2,Burst 1,--,Smart -  Catching Up,Special,Poison,,,o,,,,,,,
Hidden Power Psychic,,,6,EOT,2,Burst 1,--,Smart -  Catching Up,Special,Psychic,,,o,,,,,,,
Hidden Power Rock,,,6,EOT,2,Burst 1,--,Smart -  Catching Up,Special,Rock,,,o,,,,,,,
Hidden Power Steel,,,6,EOT,2,Burst 1,--,Smart -  Catching Up,Special,Steel,,,o,,,,,,,
Hidden Power Water,,,6,EOT,2,Burst 1,--,Smart -  Catching Up,Special,Water,,,o,,,,,,,
Hidden Power Fairy,,,6,EOT,2,Burst 1,--,Smart -  Catching Up,Special,Fairy,,,o,,,,,,,
Struggle,,,4,At-Will,4,"Melee, 1 Target",--,--,Physical,Normal,,,,,,,,,,
Struggle+,,,5,At-Will,3,"Melee, 1 Target",--,--,Physical,Normal,,,,,,,,,,
Name,Type,Category,Damage base,Frequency,AC,Range,Effects,Contest Stats,Category,Type,,,,,,,,,,
Arcane Fury,,,3,EOT,3,Cone 2,Arcane Fury’s Targets become Vulnerable on 19+.,--,Special,Normal,,,,,,,,,,
Energy Blast,,,4,EOT,3,"WR, Blast 2",You gain +1 Special Attack on 19+.,--,Special,Normal,,,,,,,,,,
Energy Sphere,,,4,EOT,3,Burst 1,You gain +1 Special Defense Combat Stage on 19+.,--,Special,Normal,,,,,,,,,,
Rending Spell,,,3,EOT,2,"WR, 1 Target",The target loses a Tick of Hit Points on 16+.,--,Special,Normal,,,,,,,,,,
Resonance Beam,,,4,EOT,3,Line 4,All targets have their Special Defense lowered by 1 Combat Stage on 20+. This Effect Range is extended by +1 for each foe targeted by this Move.,--,Special,Normal,,,,,,,,,,
Secret Force,,,4,EOT,4,"Melee, 1 Target, Smite","When calculating damage, the target subtracts their Defense from Secret Force’s damage instead of their Special Defense. Secret Force is still otherwise Special.
Limitation: Melee Weapons Only",--,Special,Normal,,,,,,,,,,
Arcane Storm,,,6,Scene x2,2,"WR, Blast 3","All targets of Arcane Storm are Slowed and Vulnerable for 1 Full Round.
Limitation: Ranged Weapons only",--,Special,Normal,,,,,,,,,,
Bane,,,4,Scene x2,2,"WR, 1 Target",The target loses a Tick of Hit Points at the start of their next three turns and suffers a -2 penalty to all Save Checks on those turns.,--,Special,Normal,,,,,,,,,,
Cone of Force,,,6,Scene x2,2,"Cone 2, Push","Cone of Force Pushes all targets 2 meters, and lowers their Evasion by -2 for 1 full round..
Limitation: Melee Weapons Only",--,Special,Normal,,,,,,,,,,
Energy Vortex,,,2,Scene x2,4,"WR, 1 Target",The target is put in a Vortex.,--,Special,Normal,,,,,,,,,,
Magic Burst,,,6,Scene x2,2,"Burst 1, Friendly","Foes hit by Magic Burst can’t make Attacks of Opportunity for 1 full round.
Limitation: Melee Weapons Only",--,Special,Normal,,,,,,,,,,
Spirit Lance,,,6,Scene x2,2,Line 6,Spirit Lance deals +3 damage to all targets for each target beyond the first that it successfully hits.,--,Special,Normal,,,,,,,,,,
Backswing,,,7,EOT,2,"Melee, 2 Targets",Limitation: Large Melee Weapons Only,--,Physical,Normal,,,,,,,,,,
Bash!,,,7,EOT,2,"WR, 1 Target",Bash! lowers the target’s Initiative to 0 for 1 full round on 15+.,--,Physical,Normal,,,,,,,,,,
Bullseye,,,6,EOT,2,"WR, 1 Target","Bullseye is a Critical Hit on 16+.
Limitation: Ranged Weapons Only",--,Physical,Normal,,,,,,,,,,
Cheap Shot,,,5,EOT,2,"WR, 1 Target","Cheap Shot cannot miss.
Limitation: Small Melee and Short Ranged Weapons Only",--,Physical,Normal,,,,,,,,,,
Double Swipe,,,4,EOT,2,"WR, 2 Targets; or WR, 1 Target, Double Strike",--,--,Physical,Normal,,,,,,,,,,
Pierce!,,,7,EOT,2,"WR, 1 Target",Pierce deals an additional +10 damage against targets with Damage Reduction.,--,Physical,Normal,,,,,,,,,,
Salvo,,,6,EOT,2,"WR, Blast 2",Limitation: Ranged Weapons Only,--,Physical,Normal,,,,,,,,,,
Take Aim,,,--,EOT,--,Self,"Raise the user’s Accuracy by +1. If the user performs an Weapon Move on their next turn that deals damage, add its Damage Dice Roll an extra time to the damage.",--,Status,Normal,,,,,,,,,,
Wear Down,,,5,EOT,2,"WR, 1 Target",Wear Down lowers the target’s Defense by 1 Combat Stage on Even-Numbered Rolls.,--,Physical,Normal,,,,,,,,,,
Wounding Strike,,,6,EOT,2,"WR, 1 Target",The target loses a Tick of Hit Points.,--,Physical,Normal,,,,,,,,,,
Bleed!,,,9,Scene x2,2,"WR, 1 Target",The target loses a Tick of Hit Points at the start of their next three turns.,--,Physical,Normal,,,,,,,,,,
Deadly Strike,,,6,Scene x2,2,"WR, 1 Target","If Deadly Strike Hits, it is a Critical Hit.
Limitation: Not usable by Large Melee Weapons.",--,Physical,Normal,,,,,,,,,,
Furious Strikes,,,3,Scene x2,2,"WR, 1 Target, Five Strike","For each hit rolled on your Five Strike roll, the target of the attack has their Evasion reduced by 1 for one full round.
Limitation: Melee or Short Ranged Weapons Only",--,Physical,Normal,,,,,,,,,,
Gouge,,,5,Scene x2,2,"WR, 1 Target, Double Strike","If both hits of Gouge successfully hit the target, the target gains an Injury.
Limitation: Small Melee and Short Ranged Weapons Only",--,Physical,Normal,,,,,,,,,,
Maul,,,5,Scene x2,2,"1 Target, Melee","The target is Flinched.
Limitation: Melee Weapons Only",--,Physical,Normal,,,,,,,,,,
Riposte,,,12,Scene x2,2,"WR, 1 Target, Reaction, Trigger","Trigger: Your Target misses you with a melee Attack.
Limitations: Melee or Short-Ranged Weapons Only",--,Physical,Normal,,,,,,,,,,
Slice,,,10,Scene x2,2,"Melee, Pass",Limitation: Melee Weapons Only,--,Physical,Normal,,,,,,,,,,
Sweeping Strike,,,9,Scene x2,3,"WR, 1 Target","You may attempt a Trip Maneuver against the target as a free action.
Limitation: Short-Range Weapons or Weapons with the Reach Quality Only",--,Physical,Normal,,,,,,,,,,
Titanic Slam,,,11,Scene x2,3,"1 Target, Melee","On Even-Numbered Rolls, the target is Slowed for one full round.
Limitation: Melee Weapons Only",--,Physical,Normal,,,,,,,,,,
Triple Threat,,,7,Scene x2,2,"WR, 3 Targets",Limitation: Large Melee Weapons and Long-Range Weapons Only,--,Physical,Normal,,,,,,,,,,
MH Adept,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,
MH Expert,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,
OH Adept,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,
EW Adept,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,
EW Expert,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,
Maneuver,,Category,,Action,AC,Range,Effects,,Category,,,,,,,,,,,
Attack of Opportunity,,--,,Free,--,--,"You may make a Struggle Attack against the triggering foe as an Interrupt. You may use Attack of Opportunity only once per round. Attacks of Opportunity cannot be made by Sleeping, Flinched, or Paralyzed targets. Attacks of Opportunity can be triggered in multiple ways:
»» An adjacent foe uses a Push, Grapple, Disarm, Trip, or Dirty Trick Maneuver that does not target you.
»» An adjacent foe stands up.
»» An adjacent foe uses a Ranged Attack that does not target someone adjacent to it.
»» An adjacent foe uses a Standard Action to pick up or retrieve an item.
»» An adjacent foe Shifts out of a Square adjacent to you.",,--,,,,,,,,,,,
Disengage,,--,,Shift,--,--,You may Shift 1 Meter. Shifting this way does not provoke an Attack of Opportunity.,,--,,,,,,,,,,,
Disarm,,,,Standard,6,"Melee, 1 Target","You and the target each make opposed Combat or Stealth Checks. If you win, the target’s Held Item (Main Hand or Off-Hand for humans) falls to the ground.",,Status,,,,,,,,,,,
Dirty Trick,,,,Standard,2,"Melee, 1 Target","You may perform any of the following Dirty Tricks: Hinder, Blind, or Low Blow. You may use each trick only once each Scene per target. Input each Dirty Trick for details.",,Status,,,,,,,,,,,
Hinder,,,,Standard,2,"Melee, 1 Target","You and the target make Opposed Athletics Checks. If you win, the target is Slowed and takes a -2 penalty to all Skill Checks for one full round.",,Status,,,,,,,,,,,
Blind,,,,Standard,2,"Melee, 1 Target","You and the target make Opposed Stealth Checks. If you win, the target is Blinded for one full round.",,Status,,,,,,,,,,,
Low Blow,,,,Standard,2,"Melee, 1 Target","You and the target make Opposed Acrobatics Checks. If you win, the target is Vulnerable and has their Initiative set to 0 until the end of your next turn.",,Status,,,,,,,,,,,
Grapple,,,,Standard,4,"Melee, 1 Target","You and the target each make opposed Combat or Athletics Checks. If you win, you and the target each become Grappled, and you gain Dominance in the Grapple.

Pokémon and Trainers that are Grappled
»» Are Vulnerable
»» Cannot take Shift Actions, or any actions that would cause them to Shift.
»» Gain a -6 penalty to Accuracy Rolls if targeting anyone outside of the Grapple.
»» Additionally, Grapple has other effects on whether the target has or doesn’t have Dominance.

If a target begins their turn as a part of a Grapple but with no Dominance, they may choose to contest the Grapple as a Full Action. If they do, all participants make opposed Combat or Athletics Check. Whoever wins then may choose to either continue the Grapple and gain Dominance, or to end the Grapple.

If a target has the Phasing or Teleporter Capability, they may also use those to escape from a Grapple on their turn with no check required.

If a target begins their turn as part of a Grapple and has Dominance, they may take one of the following actions as a Full Action.
»» End the Grapple.
»» Secure: They gain a +3 Bonus to the next opposed check they make in the Grapple.
»» Attack: They may automatically hit with an Unarmed Struggle Attack.
»» Move: They Shift, dragging the other person in the grapple with them. The user’s Movement Capability is lowered by the other grappler’s Weight Class.",,Status,,,,,,,,,,,
Intercept Melee,,,,"Full Action, Interrupt",--,--,"Trigger: An ally within Movement range is hit by an adjacent foe.
Effect: You must make an Acrobatics or Athletics Check, with a DC equal to three times the number of meters they have to move to reach the triggering Ally; If you succeed, you Push the triggering Ally 1 Meter away from you, and Shift to occupy their space, and are hit by the triggering attack. On Failure to make the Check, the user still Shifts a number of meters equal a third of their check result.

Note: If the target that was Intercepted was hit by an Area of Effect Move, and the 1 meter push does not remove them from the Area of Effect, the Intercept has no effect since they are still in the area of the attack – it would cause the Interceptor to be hit by the Move however.

Special: Pokemon must have a Loyalty of 3 or greater to make Intercept Melee and Intercept range Maneuvers and may only Intercept attacks against their Trainer. At Loyalty 6, Pokemon may Intercept for any Ally.

Additional Rules
»» Pokémon and Trainers may only Intercept against Priority and Interrupt Moves if they are faster than the user of those Moves.
»» Moves that cannot miss (such as Aura Sphere or Swift) cannot be Intercepted.
»» Pokémon and Trainers cannot attempt Intercepts if they are Asleep, Confused, Enraged, Frozen, Stuck, Paralyzed, or otherwise unable to move.
»» Intercepts may not be used to move the Intercepting Pokémon or Trainer OUT of the way of an attack. They will always be hit, regardless.",,Status,,,,,,,,,,,
Intercept Ranged,,,,"Full Action, Interrupt",--,--,"Trigger: A Ranged X-Target attack passes within your Movement Range.
Effect: Select a Square within your Movement Range that lies directly between the source of the attack and the target of the attack. Make an Acrobatics or Athletics Check; you may Shift a number of Meters equal to half the result towards the chosen square. If you succeed, you take the attack instead of its intended target. If you fail, you still Shift a number of Meters equal to half the result.

Special: Pokemon must have a Loyalty of 3 or greater to make Intercept Melee and Intercept range Maneuvers and may only Intercept attacks against their Trainer. At Loyalty 6, Pokemon may Intercept for any Ally.

Additional Rules
»» Pokémon and Trainers may only Intercept against Priority and Interrupt Moves if they are faster than the user of those Moves.
»» Moves that cannot miss (such as Aura Sphere or Swift) cannot be Intercepted.
»» Pokémon and Trainers cannot attempt Intercepts if they are Asleep, Confused, Enraged, Frozen, Stuck, Paralyzed, or otherwise unable to move.
»» Intercepts may not be used to move the Intercepting Pokémon or Trainer OUT of the way of an attack. They will always be hit, regardless.",,Status,,,,,,,,,,,
Manipulate,,,,Standard,2,"6, 1 Target","You may perform any of the following Manipulations: Bon Mot, Flirt, or Terrorize. You may use each Manipulation only once each Scene per target. Manipulate can only be performed by Trainers. Input each Manipulation for details.",,Status,,,,,,,,,,,
Bon Mot,,,,Standard,2,"6, 1 Target","Make a Guile Check, opposed by the target’s Guile or Focus. If you win, the target is Enraged and cannot spend AP for one full round. The target does not gain a Save Check against this effect.",,Status,,,,,,,,,,,
Flirt,,,,Standard,2,"6, 1 Target","Make a Charm Check, opposed by the target’s Charm or Focus. If you win, the target is Infatuated with you for one full round. The target automatically fails their Save Check.",,Status,,,,,,,,,,,
Terrorize,,,,Standard,2,"6, 1 Target","Make an Intimidate Check, opposed by the target’s Intimidate or Focus. If you win, the target loses all Temporary Hit Points and can only use At-Will Frequency Moves for one full round.",,Status,,,,,,,,,,,
Push,,,,Standard,4,"Melee, 1 Target","You and the target each make opposed Combat or Athletics Checks. If you win, the target is Pushed back 1 Meter directly away from you. If you have Movement remaining this round, you may then Move into the newly occupied Space, and Push the target again. This continues until you choose to stop, or have no Movement remaining for the round. Push may only be used against a target whose weight is no heavier than your Heavy Lifting rating.",,Status,,,,,,,,,,,
